"What are completed courses?", "Completed courses are those that the student has successfully finished."
"What are not completed courses?", "Not completed courses are the courses that the student has yet to finish."
"How do I register for courses?", "You can register for courses through the student portal on the university website."
"How do I reset my password?", "You can reset your password via the university portal by clicking 'Forgot Password'."
"What is the grading system?", "The grading system follows a scale from A to F. A is excellent, B is good, etc."
"What is the GPA?", "GPA stands for Grade Point Average, which is a measure of a student’s academic performance."
"What are elective courses?", "Elective courses are optional courses that students can choose based on their interests, apart from their mandatory courses."
"What is the prerequisite for a course?", "A prerequisite is a course that must be completed before enrolling in a higher-level course."
"How can I check my grades?", "Grades can be checked through the university’s online grading system or student portal."
"What is academic probation?", "Academic probation is a status given to students whose GPA falls below the minimum required by the institution."
"What are core courses?", "Core courses are mandatory courses that all students in a program must take to complete their degree."
"How do I request a transcript?", "Transcripts can be requested through the university’s registrar office or via the online portal."
"What is a minor?", "A minor is a secondary academic discipline a student can pursue in addition to their major."
"What does 'withdrawn' mean on a course?", "'Withdrawn' indicates that a student has dropped the course after the deadline, usually without a grade."
"What are the requirements for graduation?", "Graduation requirements typically include completing all required courses, achieving a minimum GPA, and fulfilling any program-specific criteria."
"What is a credit hour?", "A credit hour represents the amount of time a student spends in class per week for a particular course."
"How do I apply for scholarships?", "Scholarships can be applied for through the university’s financial aid office or scholarship portal."
"What is the difference between a degree and a diploma?", "A degree is a higher level of academic achievement, typically awarded after completing a bachelor’s or graduate program. A diploma is often awarded after completing a shorter course or program."
"How do I change my major?", "Changing a major typically requires approval from the department or academic advisor and may involve completing additional paperwork."
"What is a study group?", "A study group is a group of students who meet regularly to discuss and study course material together."
"What are office hours?", "Office hours are specific times when professors or teaching assistants are available to meet with students for academic help."
"How do I apply for an internship?", "Internship applications can be submitted through the university’s career services or directly to companies offering internship opportunities."
"What is the difference between undergraduate and graduate studies?", "Undergraduate studies are for students pursuing their first degree (typically a bachelor’s), while graduate studies are for students seeking advanced degrees like a master’s or Ph.D."
"What is a transcript?", "A transcript is an official record of a student’s academic history, including courses taken and grades received."
"What is a degree audit?", "A degree audit is a review of a student’s progress toward completing the requirements for their degree program."
"What is an academic advisor?", "An academic advisor helps students plan their course schedules and guides them through their academic journey."
"How do I appeal a grade?", "Students can appeal a grade by contacting the professor or department and following the university’s grade dispute procedures."
"What is a credit limit?", "A credit limit is the maximum number of credit hours a student can enroll in during a semester or academic year."
"What are study abroad programs?", "Study abroad programs allow students to study in another country for academic credit and experience different cultures."
"How do I apply for graduation?", "Students must apply for graduation through the university’s online portal or registrar’s office once they meet all degree requirements."
"What is a capstone project?", "A capstone project is a final project that integrates a student’s learning throughout their program, often required for graduation."
"What is the difference between a major and a concentration?", "A major is the primary field of study, while a concentration is a specific focus within that major."
"What are student loans?", "Student loans are financial aid that students borrow to pay for their education and are required to be repaid with interest."
"What is the difference between a semester and a quarter system?", "A semester system divides the academic year into two terms, while a quarter system divides it into four terms."
"What is a lab session?", "A lab session is a practical, hands-on component of a course, typically involving experiments or fieldwork."
"What is the role of a teaching assistant?", "A teaching assistant supports a professor by assisting with grading, holding office hours, and sometimes leading discussion sessions or labs."
"What is the difference between a full-time and part-time student?", "A full-time student typically takes a full course load, while a part-time student takes fewer courses per semester."
"What is academic dishonesty?", "Academic dishonesty includes cheating, plagiarism, and other dishonest academic practices."
"What is a final exam?", "A final exam is a comprehensive test given at the end of the semester to assess a student’s understanding of the course material."
"How do I drop a class?", "Students can drop a class through the university’s registration portal before the drop deadline."
"What is an online course?", "An online course is a class delivered over the internet, allowing students to learn remotely."
"What is a research paper?", "A research paper is a detailed essay that explores a topic through original research, often required for upper-level courses."
"What is a scholarship deadline?", "A scholarship deadline is the last date by which students must submit their application for consideration for a scholarship."
"How do I balance work and school?", "Balancing work and school involves managing time effectively, setting priorities, and seeking support when needed."
"What is a university catalog?", "A university catalog contains detailed information about the programs, courses, and academic policies offered by the institution."
"What is a student ID?", "A student ID is a unique identification number assigned to each student for administrative purposes."
"What is an attendance policy?", "An attendance policy outlines the rules and expectations regarding student attendance in class."
"What is an academic schedule?", "An academic schedule lists all the important dates and deadlines throughout a semester or academic year."
"What is a major declaration?", "A major declaration is the process by which a student officially chooses their area of primary study."
"What is a minor declaration?", "A minor declaration is the process by which a student selects a secondary area of study outside of their major."
"What is the student health plan?", "The student health plan is a health insurance policy provided to students by the university or through an external provider."
"What is an internship opportunity?", "An internship opportunity allows students to gain practical, hands-on experience in their field of study."
"What is a career services center?", "A career services center helps students with job search resources, resume writing, and interview preparation."
"What is a student organization?", "A student organization is a group of students formed around a common interest, such as academic clubs, sports, or volunteer work."
"What is a student union?", "A student union is a central building or facility on campus that provides student services and hosts events."
"What is student government?", "Student government is an organization of students elected to represent their peers and advocate for student interests."
"What is a course syllabus?", "A course syllabus is a document that outlines the course structure, objectives, materials, and grading policies."
"What is the difference between a midterm and a final exam?", "A midterm is an exam given in the middle of a semester, while a final exam is given at the end of the semester."
"What is plagiarism?", "Plagiarism is the act of using someone else’s work or ideas without proper citation or permission."
"What is the difference between a scholarship and a grant?", "A scholarship is typically awarded based on merit, while a grant is often need-based or given for specific projects."
"What is a course prerequisite?", "A course prerequisite is a requirement that must be completed before a student can enroll in a specific course."
"What is a course co-requisite?", "A co-requisite is a course that must be taken simultaneously with another course."
"What is the difference between a lecture and a seminar?", "A lecture is a formal presentation by a professor, while a seminar is a more interactive, discussion-based class."
"What is a final grade?", "A final grade is the grade given to a student at the end of the course, typically based on overall performance."
"What is a late submission policy?", "A late submission policy outlines the penalties or allowances for submitting assignments after the due date."
"What is a transfer student?", "A transfer student is someone who has transferred from one educational institution to another."
"What is academic advising?", "Academic advising is the process where students receive guidance on course selection and academic planning from an advisor."
"What is a dean's list?", "The dean's list is an academic honor given to students who achieve high grades during a semester."
"What is a course audit?", "A course audit allows students to attend a class without receiving academic credit or a grade."
"What is a full-time course load?", "A full-time course load typically involves taking a set number of credit hours or courses per semester."
"What is a part-time course load?", "A part-time course load involves taking fewer courses or credit hours than the full-time requirement."
"What is a student loan deferment?", "A student loan deferment allows a student to delay repayment of their loan for a specified period."
"What is a study break?", "A study break is a short period of time taken away from studying to relax and recharge."
"What is a research assistant?", "A research assistant is a student who assists a professor or researcher with academic research projects."
"What is a credit transfer?", "A credit transfer is when credits earned at one institution are accepted by another institution."
"What is the difference between an undergraduate and graduate course?", "Undergraduate courses are designed for students pursuing their first degree, while graduate courses are for students pursuing advanced degrees."
"What is an academic probation policy?", "An academic probation policy outlines the conditions under which a student may be placed on probation due to low academic performance."
"What is a graduation application deadline?", "A graduation application deadline is the last date by which a student must apply to graduate."
"What is an honors program?", "An honors program offers students the opportunity to take advanced courses and participate in special academic activities."
"What is a course load?", "A course load is the number of courses or credit hours a student is taking in a particular semester."
"What is a university registrar?", "The university registrar is responsible for managing student records, course registration, and academic policies."
"What is the difference between a thesis and a dissertation?", "A thesis is a project completed at the end of a master’s program, while a dissertation is completed for a doctoral program."
"What is a graduate seminar?", "A graduate seminar is a small, advanced-level class where students and professors engage in discussion and research."
"What is the student conduct code?", "The student conduct code outlines the behavior expectations for students and the consequences for violations."
"What is the difference between a pass/fail grade and a letter grade?", "A pass/fail grade indicates completion of a course without affecting GPA, while a letter grade impacts the GPA."
"What is an academic year?", "An academic year is the period during which an educational institution holds classes, typically divided into fall and spring semesters."
"What is a tuition fee?", "A tuition fee is the amount charged by an institution for instruction and academic services."
"What is a university portal?", "A university portal is an online platform where students can access information about courses, grades, and other academic services."
"What is an online exam?", "An online exam is an exam taken over the internet, often using a designated platform or software."
"What is a student activity fee?", "A student activity fee is a fee charged to students to support extracurricular activities and student organizations."
"What is a transfer credit evaluation?", "A transfer credit evaluation is a review of credits from another institution to determine if they can be applied toward a degree at the current institution."
"What is a peer tutor?", "A peer tutor is a student who helps other students with their academic work in specific subjects."
"What is an accreditation?", "Accreditation is the process by which an institution is officially recognized for maintaining high academic standards."
"What is a program coordinator?", "A program coordinator oversees the administration of a specific academic program and supports students and faculty within it."
"What is a course catalog?", "A course catalog is a comprehensive list of all courses offered by an institution, including descriptions and prerequisites."
"What is a graduation requirement?", "A graduation requirement is a condition that must be met in order for a student to earn their degree."
"What is a double major?", "A double major is when a student pursues two separate academic programs simultaneously."

"ما هي الدورات المكتملة؟" "الدورات المكتملة هي تلك التي أنهى الطالب دراستها بنجاح."
"ما هي الدورات غير المكتملة؟" "الدورات غير المكتملة هي الدورات التي لم يكملها الطالب بعد."
"كيف يمكنني التسجيل في الدورات؟" "يمكنك التسجيل في الدورات عبر بوابة الطالب على موقع الجامعة."
"كيف يمكنني إعادة تعيين كلمة المرور؟" "يمكنك إعادة تعيين كلمة المرور عبر بوابة الجامعة من خلال النقر على 'نسيت كلمة المرور'."
"ما هو نظام الدرجات؟" "نظام الدرجات يعتمد على مقياس من A إلى F، حيث A تعني ممتاز، وB تعني جيد، وهكذا."
"ما هو المعدل التراكمي (GPA)؟" "المعدل التراكمي هو مقياس لأداء الطالب الأكاديمي يتم حسابه بناءً على الدرجات التي حصل عليها."
"ما هي الدورات الاختيارية؟" "الدورات الاختيارية هي الدورات التي يمكن للطلاب اختيارها بناءً على اهتماماتهم، بخلاف الدورات الإلزامية."
"ما هو المتطلب السابق للمقرر؟" "المتطلب السابق هو مقرر يجب إكماله قبل التسجيل في مقرر أعلى مستوى."
"كيف يمكنني التحقق من درجاتي؟" "يمكن التحقق من الدرجات عبر نظام الدرجات الإلكتروني للجامعة أو من خلال بوابة الطالب."
"ما هو التحذير الأكاديمي؟" "التحذير الأكاديمي هو وضع يتم تطبيقه على الطلاب الذين يكون معدلهم التراكمي أقل من الحد الأدنى المطلوب من قبل المؤسسة."
"ما هي الدورات الأساسية؟" "الدورات الأساسية هي المقررات الإلزامية التي يجب على جميع الطلاب في البرنامج دراستها لإكمال متطلبات التخرج."
"كيف يمكنني طلب كشف الدرجات؟" "يمكن طلب كشف الدرجات عبر مكتب التسجيل في الجامعة أو من خلال البوابة الإلكترونية."
"ما هو التخصص الفرعي؟" "التخصص الفرعي هو مجال دراسي ثانوي يمكن للطالب اختياره إلى جانب تخصصه الرئيسي."
